rating,date,comment
5,04/30/2020,Hilarious movie that incorporated a lot of real-world and relatable problems
5,04/20/2020,"One of the best Disney movies. Zootopia is everything I wanted. It's brillianty paced, has incredible animation, creative creature designs, worldbuilding and locations, funny and some dirty jokes, great characters with great dynamics and character development and a mature story that deals so well with the themes of racism and racial stereptypes. It's shockingly deep for a disney movie and it's handled well throughout the whole movie. Just go see this movie right now! I could talk about why it's a masterpiece for hours."
5,04/16/2020,"The brilliantly well-rounded Zootopia offers a thoughtful, inclusive message that's as rich and timely as its sumptuously state-of-the-art animation -- all while remaining fast and funny enough to keep younger viewers entertained."
5,04/15/2020,A terrific movie for both young and old. Very clever and so much fun with its mystery execution and the animation is just simply incredible. One of my top 5 all time animation movies
5,04/12/2020,"Best animated movie with mystery, Humor, plot twists and originality! Loved zootopia !!!"
5,04/04/2020,fantastic. wow the history is so good
4.5,03/24/2020,"Zootopia is a fantastic animated family movie featuring a beautiful world Pixar created with intriquite detail that is amazing to look at with a great storyline and twist no audience member sees coming. Zootopia also teaches many lessons for children and adults throughout the movie. What a fantastic, wonderful movie."
4.5,03/21/2020,Well done movie. Good tunes and visuals.
4.5,03/15/2020,I have rewatch it 3 times. Cool plot and twist! All the animals are so cutee.
5,03/09/2020,Best movie ever. Can't wait for the next one. I even heard there were real physics in that movie; respect.
4,03/07/2020,"Zootopia covers the topic of racism, something that I've never seen done in a family film before. The only problem I have with this movie is the awful twist villain, but other than that, it's a fun, hilarious, emotional, and powerful."
5,03/06/2020,Sure fun from start to finish with witty humor and lessons throughout!!!!!
4,03/04/2020,It's very entertaining as far as children's animated films go. It's also carries some thematic undertones.
5,03/04/2020,（9.0）Zootopia是真的很好看！
5,02/27/2020,"A brilliant and entertaining story of following your heart, combined with the direction, screenplay, vocal performances, score, cinematography, editing, action sequences and animation, Zootopia is a brilliant journey for all ages!!!"
4.5,02/25/2020,"With commentary doing its best while acknowledging its brand's flaws, it's one that will put duds like chicken little and the wild forever in the grave of forgotten flops as this is a soon to be classic, though not as good as moana."
4,02/21/2020,Great for families and kids!
5,02/08/2020,"Just Watched ""Zooptopia"". Must I Say How Hilarious & Clever This Disney Flick Is? I Mean, What Else Can I Say About This Disney Film? It's Balls-Out Funny! It Can Get You At The Best Of Times, When You Least Suspect It. The Characters Are Likeable, The Writing Is Intriguing, The Jokes Get Me Everytime. But With All That Aside, The BEST Part Of This Flick Is That This Kinda Breaks Somewhat New Ground For Disney: Instead Of Characters Who Sing, Dance, Or Do Slapstick, Disney Instead Tells A Coherent Cop Buddy Story With A Very Poignant Meaning. So As You'd Guess By Now, I Enjoyed Watching This Film! I Really Loved It. And I'd Totally Recommend It. The Characters: Great, The Animation: Top-Notch, The Story: Creative, The Writing: Great & Clever, It's A Good Disney Film To Add To Your Disney Collection At Home."
5,02/06/2020,"I have a deep, undying love for this movie."
2,02/05/2020,"No, why, please god no. NOOO! NOOOOOO!"
4.5,01/22/2020,"After seeing many movies that're underwhelming, meaningless, directionless, bland or even wasted potential, and then experiencing something like Zootopia. It gives you whiplash, but in a good way. Zootopia succeeds in almost every conceivable way, it's thought-provoking, entertaining and inspirational. And besides all that, it's visually gorgeous. I'd consider calling this almost a must-watch, and something definitely to show to children, because a movie that has something to say, and not just say, make their case by believably displaying why it's a topic that matters, is something to be valued in entertainment. Entertainment is a bad word... In fiction. Why human society isn't a zoo is because humans philosophize and have the biology to utilize their intelligence, yet we like to indulge into simple worlds of mindless action etc. Zootopia ironically is something that hinders us in returning one with the nature, lmao, maybe."
5,01/18/2020,"This movie is beautifully animated, lots of fun, but most importantly full of fully realized characters with an important message for today's youth. An absolute must see"
5,01/14/2020,I enjoy every single character and the plot has so much depth that it is hard to believe this is not a Pixar film.
5,01/10/2020,I loved the comedy and the underdog story of this movie. It was great. It's also a cautionary tale about how some people use the guise of altruism to manipulate others for their own personal power gain.
5,01/06/2020,this movie will activate all the furry souls inside your young children and now they’ll be drawing their fursonas and asking to go to anthrocon
5,01/04/2020,"To me, Zootopia is a flawless animated film from the company that used to have a monopoly on the animation film industry. From the amazing chemistry and witty dialogue between Judy Hopps and Nick Wilde to the heavy underlying themes about prejudice, discrimination, and labeling others, whatever Zootopia sets out to achieve it does. The computer animation here is gorgeous with sprawling ecosystems, incredible animal designs (the fur on Hopps and Wilde look impressive on a 4K screen), and clever set designs for an urban area made for many different types and sizes of creatures. On surface level, without thinking too much about the themes, it also works as a crime/mystery film about Officer Hopps discovering why some animals seem to be going back to their ""biological tendencies"" whilst teaming up with an unlikely partner. Additionally, the moments where Hopps and Wilde's friendship gets hurt and repaired hit those Disney emotional beats that are sure to make you teary eyed then so heartwarming. Easily my favorite computer animated Disney feature and would rather watch than plenty of movies from the Renaissance era of animation - a must watch for sure!"
5,01/03/2020,Such a fresh look into modern social issues. Zootopia stand out as a great family movie with clever and fun details for the adults. The references are a nice touch!
3.5,12/26/2019,Good message. Fun family movie.
4.5,12/26/2019,"el humor es genial pero no es ni un cuarto de lo que la pelicula puede ofrecer, el guion te muestra realismo a pesar de que la pelicula sea protagonizada por animales, los giros dramaticos estan muy bien elaborados y los personajes tienen un muy buen desarrollo y muy buen diseño al igual que los paisajes, pero como toda pelicula, tiene ciertos problemas, como por ejemplo, son muy obvios con el mensaje que quieren entregar y la manera en la que te exiben lo esforzada que es Judih es muy floja"
5,12/22/2019,"This movie is more than just a kids' film with talking animals, Zootopia is more of a crime/mystery movie. It feels like an allegory to our world. I believe that adults do in fact enjoy this movie more than younger audiences. The likeable characters and the issues it addresses are what makes this an awesome film. I 100% recommend this movie to anyone."
4,12/21/2019,"Disney does a great job with this movie, its adorable, funny and will appeal to both kids and adults. lots of laughs"
4,12/20/2019,Very good Disney movie about racial tensions and urban life.
4,12/12/2019,"A movie so fantastic it should have been nominated for best picture as well. everything in Zootopia works and the story is so engaging, it has some of the best Disney characters I have ever seen and the voice acting is perfect. Judy and Nick might be my new favorite crime duo."
4,12/10/2019,"On of the best animated movies, very casual."
5,12/08/2019,"to my liking the best animated movie of the decade, it's smart and fun from start to finish"
5,11/30/2019,Very creative and incredibly well done with lots of details!
5,11/15/2019,"An animate movie adressed to a Young audience, without losing its very important meaning. Making it a movie that all ages can enjoy"
5,11/14/2019,Awesome movie with lovable characters. It’s pretty hard not to like this movie.
5,11/10/2019,"Zootopia is definitely a must watch movie. A rear Disney original peace with great characters, interesting storytelling and amazing animation."
5,11/01/2019,"This Disney movie is absolutely perfect! This movie has well-developed characters, entertaining action sequences and a mature message at the end."
5,10/29/2019,One of my daughter's favorite movie. She totally loves it. Movies is funny. Great plot.
4,10/28/2019,"amazing, and great story :-)"
5,10/17/2019,it was good and it was like a civil rights movie in a animal version
4.5,10/07/2019,"The characters are memorable, the story is engaging, the weighted moments have weight, and on top of that state-of-the-art animation makes this movie one of the best animated movies of all time. Also a great movie to show to teach kids about bigotry and prejudice. 9/10"
5,10/06/2019,one of the best animation movies i have seen in my life
5,10/05/2019,"An absolute joy of a film! With an incredible cast...Zootopia is smart, funny and heart-warming!"
5,10/03/2019,"While some of its themes and overall messages may be lost on younger viewers, Zootopia appeals to all with its vibrant colour pallette, comprehensive narrative and multifaceted characters."
5,10/03/2019,I have experienced almost all of the great movies . This movie zootopia has the first position in my favourites . I have watched this movie in full length more than 250 times because it have the unique story . It have a suspence about villan and it have so much linked scenes like a scene have a vital role on upcoming story after than . As examples in a scene nick's carecter pick up some blue berry in his pocket from judie's car and they were used as a fake bullet as a surprise . then the Big B's daughter saving scene helps them getting help at after in the movie and the recording pen and the duke wizelten's carecter are used good for the story development . The story have some mind blowing thoughts and its animation and direction is too good for a story like this . So l love this movie . It deserves 100 percent rating from me .
5,10/03/2019,They deserved that Oscar
5,09/24/2019,"Okay, so the twist villain kinda sucked and the song they keep playing isn't incredible either. But aside from that... wow! The characters were really cool, the script and voice acting was banging, the animation was good too. Seriously such a funny and heart-warming movie. Would recommend."
5,09/20/2019,Great movie I hop they make a sequel
4,09/08/2019,"Relevant and highly comical for any age, story is extremely strong . Diserves to be placed up there with any classic animated movie ."
4.5,09/04/2019,An amazing movie with numerous hilarious scenes but it did not engage me enough.
5,08/26/2019,Most Amazing Movie Ever!
4,08/24/2019,"The movie should be rated PG13 because of the horrifying jumpscares, but overall I enjoyed the movie."
4,08/22/2019,This movie is very clever and creative. And its message are good too. I recommand this movie
5,08/21/2019,This movie was absolutely amazing I absolutely loved it so surprisingly good I definitely recommend it and this gets an A
4,08/17/2019,"Very good movie, great moral, lots of fun."
5,08/17/2019,"This movie has amazing animation, relatable and great characters and one of the best stories. I cry and laugh even after multiple times watching this. It is truly one of the best animated movies ever, in my opinion in the top 5 at least. A must see for EVERYONE!"
4.5,07/14/2019,"Its get very deep in its dialogue and plot. funny, action, and smart."
5,07/12/2019,Love it! Cute movie about friendship and acceptance. The message of the film is conveyed eloquently.
4.5,07/09/2019,"Disney itself improves its Disney animated canon with Zootopia, a witty and entertaining flick! What Disney is not improving is its villains."
5,06/22/2019,One of the greatest movies of all time! It feels like a Pixar movie.
5,06/21/2019,"Great movie, good story, cleaver characters and overall funny. Must see."
5,06/19/2019,Great story and funny as well. The many characters kept us interested the entire time!
5,06/08/2019,"This is an awesome, funny, action packed film. It has a great message, and deals with real world problems. It is a great way to teach your kids that the world isn't perfect. It has at least 3 messages or more in it. Here are a few - Never give up on your dreams; the world may be broken but you can still do something about it. But the messages aren't the only good things about this movie. First of all the animation is fantastic and the animators actually spent most of their time studying the fur of animals in real life to make it accurate in the animation design. Second, the plot was one that really grabbed the audience's attention. Lastly, their choice of character and character development was amazing."
4.5,06/03/2019,"Every kid must watch it, although adults find it more interesting :)"
5,05/26/2019,"Really good animating skills, well made, coherent story, fun to watch."
5,05/22/2019,"welp, now im a furry"
4.5,05/21/2019,"Uma das melhores animaÃ§Ãµes que eu jÃ¡ vi, com uma reviravolta na histÃ³ria realmente satisfatÃ³ria, alÃ (C)m do carisma e singularidade dos personagens bem desenvolvido e apresentado trazendo certa verosimilhanÃ§a para a obra; alÃ (C)m do fato Ã (C) claro de eu adorar ver a atuaÃ§Ã£o dos dois personagens principal que impossibilita a obra se tornar desgastante."
5,05/18/2019,"Best movie EVER, there is nothing more perfect thatn this, I love this movie, I want more of this universe. more of that fox and bunny. GIVE ME MORE."
5,05/17/2019,Absolutely Amazing!! Helps little kids want to continue with there dreams and shows them that if they believe it can happen.
5,04/20/2019,"This Is A Really Great Buddy Comedy, And a Really Great Crime Movie. But This Crime Movie Is For The Family"
4,04/13/2019,"I looooooved this movie! It was so good. I loved the messages, all the unexpected twist (yes, indeed there were, for me, unexpected twist in this kind of predictable movie), the characters, the look of it all, ugh, I just loved it. Okay, so it's about this world where animals (predators and prey) live amongst each other in peace. There is a bunny called Judy Hopps and she dreams big. She wants to be the fist bunny cop and while no one believes in her, she believes in herself. And yes, she end up becoming a cop. But because she is a bunny she gets to do the not so fun job. Until one day she gets 48 hours to solve a missing Otter crime. She gets help from a fox ""criminal"" called Nick Wilde. They take on the adventure together, and through the ups and downs they find the guilty party and learn valuable lessons. One of the things I adored in this movie is the messages. Which is, even if everybody disencourge you, you have to believe in yourself and go get what you want or become who you want to be. I think that's one great messages and I really believe kids and even grown ups can learn a lot from it. The message was pretty clear throughout the whole movie, so that was great as well. Also, The movie is so well made. All the different areas in Zootopia were all so unique and beautifully crafted. They really did a great job. The humor in this movie was amazing. The film started and I was already laughing. The voice actors were chosen very well, they really brought life to the characters and their emotions. I know I'm only praising this movie, but I just can't seem to find something that bothered me. I really just loved it. I really did. Some parts still got me laughing to be honest. You should watch it, you really should."
4.5,04/12/2019,"Wonderful message, wonderful look, wonderful colors and wonderful characters makes a wonderful movie"
4,04/12/2019,"The narrative is very good, and its characters very funny"
4,03/27/2019,Though painfully modern and stuck in the current setting. Zootopia still teaches us a lot of great principles. The message of how not judge people on the surface is addressed in a realistic way. The main characters are easy to connect with as their building friendship is strong and powerful. The animation is great and so is the comedy. Disney did a fine job creating a kids film with messages about humanity's flaws and ethnicity discrimination.
4.5,03/27/2019,"We are all different and we all have different strengths, play to your strengths."
4,03/24/2019,Average movie but made me laugh a lot
5,02/20/2019,Zootopia is one of the best films to come out in the past 20 years. Largely due to being unafraid to address thorny themes through its subversive buddy-cop storyline lead by the always entertaining Nick Wilde and Judy Hopps.
3.5,02/07/2019,"not a weird furry movie, like i thought"
5,02/06/2019,From my perspective this is the best cartoon movie of all time
5,02/04/2019,The movie was a 200 percent movie loved it
4,01/30/2019,It's one thing to animate animals into doing human activities. But this film puts it over the top and makes it ten times better.
5,01/17/2019,"Zootopia is a very funny film, with a very well done animation, captivating and very charismatic main characters, a great story and a fast and pleasant rhythm, and besides all this, it is one of the best animations of Disney and one of the best animations ever made"
5,01/05/2019,"Zootopia is a great animation film who put all the best for watching. Very good plot and screenplay, interesting heroes who wanted to empathize, relevant and perfect humor which called for me laugh and beautiful animation. This cartoon also pleased with me what he raised topic stereotypes. In this cartoon, I saw lots of references, but the best was from The Godfather. I was surprised,when I had seen this moment.And also, the main characters were well spelled out and they had clear motivation. For me, all characters were good especially Judy Hops and Nick Wilde, they are very interesting.I personally watched this cartoon three times and I got a lot of positive emotions. My opinion: In general, this is one of the best animated film of Disney that I have seen in my life. I will say which Disney be able to make good cartoons."
5,01/03/2019,Best animated movie. Perfect in almost every way
5,01/01/2019,"This movie, Zootopia is not overrated. This is one of Disney best and great movies in history. I believe people that have not heard or seen it should watch it because it is very funny."
5,12/30/2018,As perfect as an animated film can get with an easy to understand message for both adults and children that's never ham fisted.
3.5,12/29/2018,Another kids comedy relying on a big budget catchy songs and a star studded cast. Not a good film but a expensive kids movie. The greatest money maker
4.5,12/21/2018,Disney animation is feeing more and more like its adoptive brother Picar with this smart and funny tale with impactful messages for kids and adults alike. This rare gem in the stacked animated category should not go unnoticed.
5,12/21/2018,You can watch this movie in any languages using boxxy software and add many subtitle languages you want. Recommend.
3,12/18/2018,Its creativity is way better than Chicken Little
5,12/12/2018,"This is honestly one of the best animated movies I've seen. All the characters were very well written, the jokes mostly land, and the themes of racism and the drug wars are very well done and are great ways to inform younger kids of these things in an appropriate manner. I honestly don't have any flaws with this movies. 10/10"
5,12/12/2018,"I didn't think much of it when I was about to start watching it but it blew me away! It has incredible social commentary about racism that made me question real life, an engrossing mystery that you WILL NOT PREDICT, Excellent Characters, AND EVEN A BREAKING BAD REFERENCE! The ideas for the way the city was presented with the different environments being different districts was so creative and engrossed me more in the story I give Zootopia a 9.9/10 (0.1 off because of their insistence to push an annoying pop song at you in the end credits)"
4.5,12/05/2018,"This movie is one of my favourite animated films as well as one of the best films done by Disney. It has great cinematography, great story, great screenplay, music and basically almost everything. It also has a surprising twist, which I never saw coming. I hope there would be a sequel to this movie, and if there is, I would certainly not miss it."
5,12/05/2018,"This is truly Disney at it's best. Telling a story that is compelling, yet also very relevant to the status quo. Spectacular."
4.5,12/01/2018,Very much Disney's best film to date
5,11/25/2018,"This movie is very well made,funny,and touching.It is a very good comment on modern race relationships while still sneaking in a few laughs and never gets overly serious or just blatantly says its message though a monologue.This movie is a must see movie for all ages featuring jokes and animal characters for the kids and as I said above,a more intriguing message for the teens and adults.This movie is a 5/5"
3,11/23/2018,Yes it may be good the first time around but after the 2nd and 3rd watching it gets boring and repetitive. But then again I hate almost every movie there is. I will be nice and gove it a 60.
4.5,11/22/2018,"As soon as I watched Zootopia, I realized how much Disney is increasingly ""inspiring"" among pixar films, but in a wonderful and intelligent way, as this film manages to captivate, thrill and laugh a lot with the two protagonists that we like to see in its great adventure with their very different ""personalities and attitudes""."
4.5,11/21/2018,"This film was a great film and I hope there will be a sequel coming to theaters soon, however, I think there shouldn't be inappropriate content in it, so that's why no five stars"
4,11/18/2018,"Super cute and fun movie for the whole family to enjoy! The urban setting with the multiple Burroughs is unlike anything Disney has done before! The characters are sweet and likeable but a little bit predictable. This entire film has a very obvious theme of anti-racism and I think this is one of the most creative and interesting ways to tell that story. Everything from the setting to the characters contributes to this real life comparison of racism and honestly it works soooo well! I don't even mind that the entire film felt slightly too present day with the iphones and technology, because the way this film is set up, is that it is telling a story of racism present day. Give this a few decades and it will go down as a classic guaranteed! My biggest complaint with this film is the villain at the end. There was no sign or anything that bellwether would be the villain. It felt lazily thrown in at last minute to give an evil mastermind behind the work. Her intentions line up, but still feel a little weak since honestly any prey animal could say that those were their intentions. Why not line it up with something to do with her job as assistant mayor? That would have been interesting. This was an exceptionally good film overall and I recommend it to anyone!"
5,11/14/2018,This is a movie that is enjoyable for all ages.
5,11/11/2018,100% certified fresh
4.5,11/09/2018,"Highly enjoyable for all ages. Right amount of humor, message and family fun. Great looking film as well."
5,11/07/2018,We love to watch cartoons using boxxy software with my children all family it's remind me my childhood
5,11/03/2018,"This movie is spectacular. The story is amazing and very interesting, the animation is gorgeous in ever way possible, from the characters and their movement, to the city itself with the various different regions. The characters are unforgettable and some are so good that they are considered inspirational. But what makes the movie special is the powerful message of bigotry and racism. This movie is an obvious must-watch and certainly among Disney's absolute best movies of all time"
4,10/25/2018,"watching this now, you can see how they tried to make nick the main character . my children love boxxy software always find there great cartoons"
5,10/21/2018,"Zootopia perfectly blends comedy, heart, mystery, and suspense, into a 100% well rounded film. Couple that with some excellent animation and social commentary, and you have yourself a perfect film."
5,10/11/2018,"Incredible movie, by far the most unappreciated Disney movie. Uu"
4.5,10/08/2018,Loved every bit of this film and what it accomplished
3.5,09/28/2018,"As you know, at first I had low or medium hype, because the premise was too simple, the fact of using anthropomorphic animals, since in current standards, with appearances of chicken little or the undervalued tuff puppy, it no longer attracts much . In fact, I think that in the 90s it was not very creative to use animal worlds in cartoons, as the failure of cats does not dance. Nobody gave a damn for anthropomorphic animals, with the exception of the furrys in deviantart and furaffinity.net. since I speak of this, this that I say is not a weight that affects the movie, but if the fandom. As you know, as soon as a trailer was shown in English of the movie, and in a few hours or a day, they already had sexualized the protagonists of the movie, the little rabbit Tte. Judy Hopps, and the fox Tod, I say Nick Wilde. and all this with the pure trailer, not even the movie had come out, now imagine the fandom of nowadays that is extreme. leaving aside that detail, since the hype of many were overshadowed by the things already mentioned, until suddenly, SURPRISE, THE BEST CONCEPT OF ANTHROPOMORPHIC ANIMALS OF THE HISTORY (and speak seriously), and wonder, why? Well, keep reading the content. I will not talk about the animation, because apart from being something superficial, we all know that disney in the visual section, they always do good jobs. or good, almost always, with exceptions of Mars you need mums and cow cows 7/10."
5,09/25/2018,Best animated movie I watched
5,09/23/2018,"The best anthro movie I've ever seen. It has lovable characters, intriguing plot, and detailed world-building."
5,09/18/2018,"Great movie, very fun to watch, you'll love it."
4,09/15/2018,I always like watching this movie
4.5,09/07/2018,"Do you like animated movies with a good message? Well, this movie is for you. It's called Zootopia, it was released on March 17, 2016 and was directed by Rich Moore and Byron Howard. Like I mentioned before, it's an animated movie and it's about a fictitious mammal city called Zootopia, where a bunny wants to be a police officer. Since it's an animated movie, people just give their voice to the characters in it, and the main voices in this movie are Ginnifer Goodwin and Jason Bateman. Ginnifer Goodwin is an actress that is mainly known for ""Big Love"" series and the movie I'm talking about, Zootopia and Jason Bateman is mainly known for ""Arrested development"" series, ""Bad words"" and Zootopia, also he won the Golden Globe Award for the best actor in TV series for ""Arrested development"". In the movie Ginnifer Goodwin gives her voice to Judy Hopps and Jason Bateman gives his voice to Nick Wilde. In my opinion they both did very good voices in all the movie context because the emotions in all the scenes are very clear and also the dialogs are totally understandable. The plot is about a young bunny (Judy) that wants to be a police officer when she grows up, everybody in her town wanted to stop her but she didn't give up and she made her dreams come true, achieving her goal. In my opinion the story is very entertaining because in Judy's process to be a police officer there are a lot of people she meets and a lot of difficulties she pass through. In general, the movie is very good in its animated cinematography, also the soundtrack is really awesome and specially because there is one song that the famous singer Shakira sings. One of the best scenes in all the movie is when Judy and his partner Nick run away from a jaguar because it turns savage in a rainforest. Since Zootopia is an animated movie, the special effects are made according to the all the computer-made animation, but they're very well made because they cause impact to some children that make them like the movie, and the emotions in the movie are very impressive, especially for kids, because they are very good expressed and you feel like if they were real. My rating for this movie is of 9/10 stars, so I think it's an awesome movie and the people who watch it will be very appointed with it, also I recommend people to watch it because it's very creative and entertaining with all the scenographies and the characters presented in the movie, and finally, this movie shows you a good lesson: Don't give up if you have a goal you want to achieve, even if something or someone tries to stop you. Made by: Fernanda"
3,09/03/2018,Rich and ful characters absolutely a film I can watch more then once
5,08/27/2018,"All around this movie was fantastic. Zootopia was hilarious and extremely entertaining. The animation was spectacular. The screenplay and story were amazingly written. The voice performances were stupendous especially Jason Bateman, Ginnifer Goodwin, J.K. Simmons, Idris Elba, Jenny Slate, and Nate Torrence. One of the best animated movies ever. A+."
5,08/27/2018,One of my very favorite movies.
4,08/26/2018,✔️ [Completed] This Movie Is Very Good! ⭐️(4.0)
4.5,08/26/2018,Solid movie for kids AND parents.
5,08/21/2018,"Normally I enjoy animated films because they're are usually visually stunning and that is enough to hold my attention. Some I love and some I just enjoy even if they are flawed. But I was fairly excited for this film so I watched it, because I'm a sucker for animated films, and I was absolutely blown away by this movie and it surpassed my expectations. Firstly, Zootropolis (or Zootopia depending where you come from) is much, much more than your generic Disney film. It will actually entertain a higher age demographic rather than younger kids due to it's exciting story and mature themes and because it is more a crime drama than a comedy. Yes, the directors and writers aren't afraid to explore much more darker and mature themes then they usually do and they do throw in a few jump worthy parts. On the other hand, the kids will probably enjoy seeing the animals speak but adults will be really engaged because of it's story. This film definitely deserved it's Academy Award Oscar for 'Best Animated Feature'. Secondly, this film had me hooked all the way through because of its detective and mysterious themes and its crime drama story, it's frequently humourous sequences and because the film had a surprising amount of an emotional weight towards it. Even though the tone is normally dark for an animated Disney film, the film still allows for some hilarious moments that, luckily, doesn't affect the overall tone. And like all modern Disney films, this film has stunning backdrops and top-notch animation and the soundtrack isn't half bad, either, alongside side it's exciting score. Furthermore, Zootropolis works well because of it's extremely likeable characters, who have emotional and sympathetic backstories, it's story, which is well paced, extremely well told and presented, and as the chemistry between Nick Wilde and Judy Hopps is rich and compelling because of it's well written dialogue and great casting choices including Idris Elba, Ginnifer Goodwin and Jason Bateman. Not only that but Zootropolis thrills in it's tension filled action sequences and due to it's shocking plot twists; Zootropolis also allows Godfather fans to be delighted as well. In the end, Zootropolis isn't your average animated film because it is much more than that, it has an extremely intriguing, unprecedented presence and a well told story and is aided by compelling characters and fun moments. Zootropolis not only sets a bar high for future animated films but is probably one the best animated films ever made as of 2016. Additionally, Zootropolis is also one of the most enjoyable family films ever made. I absolutely adore Zootropolis."
4,08/18/2018,"Bunnies are great at multiplying, sloths burn rubber, and not all sheep are meek."
5,08/17/2018,Awesome and one of my favorites!
4,08/16/2018,"This film is not a normal childish film. With the runtime just under 2 hours, Zootopia will have have you very surprised when you discover how well the characters relate to our world. This is a must see Disney film with great jokes that only adults will get (Like Shrek). This movie also has great morals which are perfect for all ages. Even the movie poster had me impressed with the level of detail and character development. I also loved the sneaky Breaking Bad reference & the Sloths in this film are Hilarious. - Finesse Movie Reviews"
4.5,08/15/2018,"Plot/Story: 8/10 Effects: 9/10 Sound/Music: 8/10 Acting: 9/10 Personal Rating Total: 85% A well-disguised, mature story, 'Zootopia' is a welcome masterpiece of animation that helps you believe you can do anything despite the odds and the natural prejudices of the modern world. Filled with loveable characters, good humour, and an interesting world, 'Zootopia' inspires viewers to be open to trying new things, and accepting new things."
5,08/08/2018,This movie is such a smart concept that can be enjoyed by kids and appreciated by adults.
5,08/04/2018,It's a phenomenal movie with two very admirable characters that sparks thousands of possible ways of continuing the story after its ending. The three directors of this movie did a fantastic job of coordinating the movie to its obvious success.
5,08/03/2018,My favourite movie of all time
1,07/30/2018,"The overtones to this movie are so over the top and obvious that it pulls you out of the story in every way it can. Even the positive reviews mention the messaging. Was hoping for a fun adventure, but got a lecture instead."
5,07/24/2018,"An unquestioned 5 star movie, and definitely in the argument for the best movie Disney has ever made. The characters are lovable with awesome chemistry, the story is great with a legitimately good twist, the comedy is perfect, and the animation is stunning. Not to mention it tackles a very testy subject for our modern era and knocks it out of the park with an extremely respectful approach that very completely covers the views of all sides without demonizing any of them. Fantastic movie, a must see/own."
5,07/20/2018,"Zootopia is a great satire about urban life with great jokes and a very complicated plot. In any case, he is in the lead of the best Disney movies."
5,07/12/2018,"This is one of those films that I think most people would find incredibly difficult to fault. Loveable characters, great plot, beautiful animation, smooth pacing, great soundtrack and voice acting. One of my pet peeves is when I feel like I'm being manipulated for cheap feels, and I didn't get a single bit of that here. It's honestly a great film, and something that people of all ages can enjoy. Heartwarming and fun, colourful and original, and it leaves no bad aftertaste in your mouth. Superb."
5,07/06/2018,omg I love this movie because It has a lot of rude humor and action I recommend this movie to everyone who loves action and humor.
4,06/26/2018,Surprisingly clever and subtle take on the US-american drug war and racism. Kids might not get the reference though. Still very entertaining.
5,06/22/2018,It was a very good movie great designs love the story line but the one thing is is that it kinda scary to be a PG movie with those scary animal scares it kinda would be a PG-13 kinda movie I mean its very good but just of how scary it is I love it this is one of the first animated scary movies I've seen and it's a also funny as well just the part when the otter came out and leaped at the cage that was kinda frecky but it was a great movie know matter what
0.5,06/21/2018,very overrated cartoon with way too much propaganda that was not subtle enough to make the film enjoyable.
5,06/02/2018,One of the best Disney movies of all time.
5,05/29/2018,"The titel of the movie is zootopia. The genre of the movie is animation. I't fun. becouse zootopia character is cute. The more I watched it, the more fun I was. So I really recommed it."
5,05/29/2018,"The title of the movie is Zootopia. The genre of the movie is animation.I expected it.Because the characters were very cute.The more Iwatched it,the more funny I was. So I want to recommend it."
4,05/29/2018,"The title of the moive is Zootopia. The gente of the moive is Animation. It was good! Because ofnthe reversal. The more I watched it, the more fun it was. So I really recommend it."
5,05/24/2018,"Years ago, I did watch 5 times for that movie & I was a shipper of Nick and Judy."
5,05/20/2018,"Amazing, I ship Nick and Judy."
5,05/11/2018,This was a great movie! One of Disney's best!
4,05/09/2018,it good but it cliche so be prepared for arch enemies working together cliche
0.5,05/08/2018,Worst movie in all the countries.
5,05/06/2018,"Built as a 90's police movie, Zootopia is well written and a good entrainment. An excellent Disney movie for children and adult. Finally, I really appreciated the tributes to other movie or tv series like ""Breaking Bad"""
3,05/01/2018,S'pretty good. I got nothing for this review.
5,04/28/2018,"This movie is amazing. The story is original, the acting is great, the animation is the best I saw in 2016, and it is very deserving of it's Oscar for Best Animated Feature Film. I have nothing negative to say, to I'll just say that I give it a 100%"
4,04/24/2018,"Zoomania (Try Everything von Shakira als Titellied, eine charmante Hasen-Polizistin, ein Beamter namens Flash und ein Fuchs der über sich hinauswächst.Ein guter Film)"
4,04/23/2018,"Zootopia - 4 out of 5- Entertaining for young and old your kids will love this film you will be drawn into the story no matter how hard you try not to... in other words another typical Disney Classic You wont be disappointed seeing this movie. It covers stereotypes, bullies, racial undertones its a kinda deep film. This is a must see Go see it in theaters or wait till you can rent This is a Buy also."
4,04/23/2018,"all round a good movie I HATE the ""I won't give up"" song though but that's not the movie's fault (its my sister's)."
5,04/17/2018,Love this movie!!!!! So amazingly awesome
4.5,04/15/2018,This movie is the best and funny movies
